diagnosis,table,column,row,value,repair,extended_diagnosis,file_path,data_type,nullable
illegal depth,ws,depth,1,2,,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
illegal depth,ws,depth,2,2,,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
illegal depth,ws,depth,3,2,,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
illegal depth,ws,depth,4,2,,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
illegal depth,ws,depth,5,2,,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
illegal depth,ws,depth,6,2,,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
illegal depth,ws,depth,7,2,,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
illegal depth,ws,depth,8,2,,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
illegal depth,ws,depth,9,2,,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
illegal depth,ws,depth,10,2,,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
illegal depth,ws,depth,11,2,,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
illegal depth,ws,depth,12,2,,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
illegal depth,ws,depth,13,2,,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
illegal depth,ws,depth,14,2,,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
illegal depth,ws,depth,15,2,,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
illegal depth,ws,depth,16,2,,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
illegal depth,ws,depth,17,2,,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
illegal depth,ws,depth,18,2,,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
illegal depth,ws,depth,19,2,,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,False
